individuo,vol_piso_verija_L
116_316,180.5
117_307,109.1
117_330,162.5
117_349,183.3
117_363,136.6
118_313_arriba,98.9
119_311,122.8
119_313,174.8
119_389_adelante,117.2
120_305,123.8
120_321,176.8
120_340_arriba,139.6
121_322,170.3
121_330,152.7
121_418_arriba,191.4
122_351,141.1
124_341,199.7
124_364_arriba,152.5
124_374,105.4
100_137.5,64.6
101_156,104.1
102_150,105.8
102_168.5,97.5
102_171.5,83.9
102_177,94.5
103.5_173.5,93.6
103_169,122.4
110_221,103.0
110_228,114.7
112_203,134.0
113_214,126.3
114_166,115.2
118_462,168.8
118_510,140.8
124_478,219.3
124_498,161.1
126_463,177.0
127_435,142.1
129_472,91.0
129_477,222.4
129_487,201.4
129_504,179.3
133_544,182.0
134_532,196.3
134_556,218.9
135_630,187.7
000_306,167.1
000_391,138.1
000_392B,267.3
000_392C,191.4
000_395,146.1
000_435,170.6
000_435A,266.5
000_436,186.6
000_446,186.5
000_447,292.7
000_448,197.1
000_499,191.5
000_524,213.4
000_560,219.3
