dataset,individuo,altura_calc_cm,diam_verija_cm,diam_torax_cm,dist_cm,vol_tramo_L
14mayo,100_137.5,85.6,131.1,136.0,54.4,66.0
14mayo,101_156,105.3,186.6,167.2,48.3,86.0
14mayo,102_150,108.2,177.2,185.5,35.6,71.5
14mayo,102_168.5,108.2,160.8,165.3,44.8,76.8
14mayo,102_171.5,90.2,,,,
14mayo,102_177,96.1,161.9,157.1,31.9,51.1
14mayo,103.5_173.5,102.1,169.1,181.7,36.8,69.0
14mayo,103_169,105.4,183.6,191.4,32.3,69.8
14mayo,105_182.5,100.9,,,,
14mayo,110_221,105.1,159.3,173.6,38.9,66.9
14mayo,110_228,112.0,166.8,184.3,78.7,157.3
14mayo,112_203,102.6,179.7,179.7,44.0,91.0
14mayo,113_214,109.1,189.3,179.9,34.5,73.1
14mayo,114_166,108.9,170.6,180.5,49.7,100.3
20mayo,118_462,115.1,193.7,198.8,48.4,115.6
20mayo,118_510,125.5,178.2,191.5,47.3,106.7
20mayo,124_478,119.6,198.9,207.9,60.1,159.4
20mayo,124_498,124.4,189.3,205.1,84.8,226.2
20mayo,126_463,129.5,193.6,195.5,70.1,173.8
20mayo,127_435,120.7,182.5,187.3,53.8,119.7
20mayo,129_472,123.7,151.2,157.6,66.4,105.8
20mayo,129_477,129.0,207.4,214.1,71.5,217.3
20mayo,129_487,124.4,206.4,201.9,42.9,117.7
20mayo,129_504,126.6,190.8,199.1,48.3,118.1
20mayo,133_544,122.8,206.9,213.4,54.8,156.7
20mayo,134_532,128.9,208.3,222.4,59.4,168.5
20mayo,134_556,134.0,205.3,220.6,64.8,190.3
20mayo,135_630,135.0,210.7,217.6,50.2,143.7
6mayo,116_316,117.5,218.7,206.0,46.8,122.5
6mayo,117_307,115.2,170.9,181.1,39.6,81.8
6mayo,117_330,117.6,191.7,210.8,53.9,132.7
6mayo,117_349,115.8,186.7,193.4,65.9,148.0
6mayo,117_363,117.3,174.1,188.5,48.7,110.5
6mayo,118_313_arriba,114.3,163.5,183.6,56.1,106.7
6mayo,119_311,110.6,167.1,181.1,46.2,101.8
6mayo,119_313,117.1,195.7,210.1,41.7,108.6
6mayo,119_389_adelante,117.0,168.6,180.7,55.7,119.5
6mayo,120_305,113.0,168.9,185.0,55.3,121.4
6mayo,120_321,113.7,178.1,193.1,71.8,162.2
6mayo,120_340_arriba,115.1,188.7,189.3,52.9,117.8
6mayo,121_322,124.8,180.8,192.4,62.1,152.4
6mayo,121_330,109.6,183.9,189.9,40.7,95.6
6mayo,121_418_arriba,125.6,208.8,225.2,38.7,114.3
6mayo,122_351,121.0,178.4,187.1,49.2,113.4
6mayo,124_341,113.0,195.2,191.2,42.2,102.5
6mayo,124_364_arriba,118.1,182.1,201.1,67.6,158.7
6mayo,124_374,117.5,160.0,180.0,55.7,106.7
12junio,000_306,102.8,190.1,192.7,61.7,146.4
12junio,000_391,111.7,171.3,191.4,62.2,138.7
12junio,000_392,109.3,193.6,229.1,98.3,290.3
12junio,000_392A,120.7,215.2,227.2,64.5,231.6
12junio,000_392B,111.1,204.3,218.3,48.5,139.3
12junio,000_392C,110.9,191.7,208.2,47.4,118.5
12junio,000_395,118.5,175.1,203.0,63.6,154.8
12junio,000_435,122.7,193.7,202.9,47.9,113.9
12junio,000_435A,121.3,217.5,231.6,60.7,202.0
12junio,000_436,122.1,195.8,205.0,40.6,107.4
12junio,000_446,109.4,199.7,196.9,42.7,105.2
12junio,000_447,121.2,217.5,231.4,62.5,207.1
12junio,000_448,112.9,190.6,200.4,42.3,101.9
12junio,000_448A,114.0,205.0,221.2,48.2,149.1
12junio,000_459,122.7,218.7,255.6,36.0,128.1
12junio,000_499,116.6,189.7,204.9,43.3,102.3
12junio,000_524,109.8,216.3,224.3,60.9,191.7
12junio,000_560,124.1,211.1,215.6,41.2,116.1
